country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,97.2,88.7,89.8,92.3,92.8,87.9,94.5,93.4,92.3,98.4,91.8,,,92,101,,,,,,,
Afghanistan,,,,,28.5,,,29.8,32.4,,43,51.7,,,24.6,25.8,,,,,,,,39.9,,,,,,,,,,,,,,,,,,,,,,,96.5,101,103,102,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,43.3,45.8,59,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,95.7,95.6,,93.6,92.7,,,95,92,90.7,89,91.7,97.8,90.3,98.6,97.5,97.8,101,98.9,102,98.4,
United Arab Emirates,,,,,45,42.1,53.1,59.8,64.4,68.2,68.7,73.4,85.5,83.7,78.8,75.8,74.7,74.4,73.8,82.8,93,99.5,97,93.6,91.5,89.5,85.2,87.2,84.1,81.9,78.6,74.8,81.7,,,,,96.3,,,,,93.7,94.2,97.6,103,,,,111,105,
Argentina,67.8,69,,,,76.6,76.3,,,,,,,,,,,,,,,,,,,,91.6,89.8,97.7,96.9,97.2,96.6,100,98,96.4,94.5,97.1,99.8,103,103,104,104,104,102,104,103,103,100,99,98.9,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,88.8,101,92.2,92.8,101,105,,92.8,92.3,92.3,,96.8,93.6,90,91.5,90.2,93.3,92.4,
Antigua and Barbuda,,,,,,76.8,80.6,,,,,,,,,,,,,,,,89.7,,,,,,,,,,,,,,,,111,102,108,109,,108,120,94.1,97,99.7,93.5,,,
Austria,,94.3,96.1,96.2,,,,,,,,,,,,,,,,,,,,,,,,,101,101,,,101,,99.2,,,,,,,97.3,96.2,98.1,98.4,101,99.7,98.9,99.8,99.2,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,101,96.3,88,79.1,102,96.3,92.6,93.8,96.3,94.6,95.1,96.3,97.3,92.2,97.8,91.7,92.1,90,93.3,92.3,89.4,98.6,105,113,107,99.9,100,98.6,
Burundi,,8.57,,14.9,14.5,15.3,14,14.5,14.3,14.2,14.4,14.9,17.7,24.2,33.3,35.2,35.9,35.8,48.5,39.8,48.6,49.2,55.4,58.8,,,,,,,26.6,27.5,28.1,34,37.9,38.3,,41.9,44.7,50,52.7,56.3,61.4,67.3,64.8,59.6,62.3,63.2,58.2,54.3,,48.8
Belgium,,,,,66.8,68.9,69.8,70.9,74.5,66.7,66.2,72.4,73.3,69,72.4,70.9,69.8,69.1,70.7,,,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,26.4,30.7,31.2,29.8,37.4,35.9,35.4,37.8,39,40.2,43.8,45.8,52.6,41.3,47.3,43.1,41.6,37.9,37.3,26.1,29.1,29.7,32.6,35.1,40.9,44.2,47.3,50.8,,49.4,54.1,56.6,60.8,63.1,,,,73.6,,75,79.1,80.3,85.5,85.2,86,85.3,,,67.6,65.3,
Burkina Faso,,9.57,8.92,9.09,8.53,9.64,9.6,10.7,11.1,12.2,11.9,13.2,13.5,14.3,15.1,17.6,,19.9,21.3,20.9,24.6,24.6,31.5,32.8,33.5,21.8,27,,,27.6,29.8,31.6,32,33.3,34.6,35.9,36.6,39.1,43.3,47.3,49.9,56.3,58.7,62.2,59.1,60.6,59.5,60.8,62.6,61,60.5,
Bangladesh,,,,,,,58.9,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,63.9,,,56.2,62.5,64.1,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,98.5,103,102,101,99.1,87.3,87.7,86.1,88.1,88,90.3,94.7,94.5,97.2,96.6,103,97.2,98.9,99.1,98.3,99.2,102,96.2,101,113,110,102,99.6,98.2,96.6,92.3,90.5,87.1,85.4,,
Bahrain,,,,,,,,,,,,,104,95.1,93.4,97.7,92,91.9,99.4,103,,101,101,100,92.8,91.3,90.1,,93.1,102,98.4,94.7,100,100,99,98.8,,,,,,87.2,92.9,96,97,97.4,96.3,98.6,96.5,103,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1,,,,,,102,98.2,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,75.5,79.7,93.8,102,94.7,89.2,85.9,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,96.8,99.8,98.1,97,97.8,,99.3,102,107,133,103,104,101,99.3,97.1,99.3,,,108,104,100,98.6,97,96.2,102,105,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,94.3,,,88.9,96.3,,,99.8,103,99.6,,95.4,97.7,99,98.9,96.6,94.3,98.2,103,103,107,102,103,105,105,103,105,103,104,
Bermuda,,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,97,93.6,,,,,,,,103,105,98.9,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,96.6,97,94,90.6,89.3,90.2,92.2,95.4,91.6,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2,100,106,103,106,100,90.8,97.2,92.3,93.6,93.9,93.2,97.3,,,,,,,87.6,88.7,93.4,
Brunei,,,107,107,111,102,113,106,96.8,102,92.4,89.9,84.1,80,60.2,,116,,,,,,,,,,,109,118,121,119,130,124,126,112,104,107,108,105,102,106,112,108,106,100,101,107,108,108,98.9,105,
Bhutan,,,,,,,,,12.8,14,,,,,,,,,,,,,,27.5,31.2,,,,51,54.1,54.5,54.7,,,,,70.9,,75.3,77.1,81.7,86.3,97,94.5,90.7,91.5,95.5,95.7,83.9,71.5,76.2,
Botswana,42,46,52.6,,,,,,,53.8,,69.5,73.1,66.3,71.5,75.1,85.3,87.6,86,82,86.2,87.7,89.2,89,92.9,90.6,93.2,,96,93.6,94.4,96,97.5,96.8,96,93.8,98.2,96.1,97.6,100,,,99.5,99,,94,,,,,,
Central African Republic,,44.2,39,49.2,42.8,55.5,43.6,,62.1,,,42.9,42.7,38.5,,,49.8,37.5,38.8,39.5,43.5,38.1,30.7,,,,,,,,,,,,30.1,32.7,32,,43.6,45.9,49.4,50.2,52,,,,48.9,64.6,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3,95.7,97.7,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,53.1,60.5,58,56.8,51.3,51.3,51.5,50.4,50.7,49.6,48.9,48,49.2,51.1,53.5,54.8,62,63,,73,,,94,95,97,97,96.9,98,95.7,92.6,92.3,93.4,94.5,94.6,95.5,96.1,96.3,94.8,94.6,96,95.7,95.7,95.5,,
Chile,78.6,85.8,90.1,90.6,89,89.5,91.8,90.1,,,,,,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6,98.7,99.1,98.9,97.1,96,95.4,96.7,98.8,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1,92.9,,,,,,,,,91.8,93.6,99.7,98.9,,,,,,,,,,,,
Cote d'Ivoire,,,,54.5,55.1,,64,67.9,67.9,70.6,73.3,77.2,,73.8,71.7,59.3,61.6,59.7,60.8,55.3,53.1,59.1,52.9,54.1,52.9,51,52.6,49.5,48.1,,53.1,59.5,,,,,54.3,53.3,,53.8,,59.2,62.5,59.9,61.5,66.5,69.9,78.5,79.8,82.3,83.9,
Cameroon,,,,57.7,56.6,58.7,60,60.4,71.8,60.3,57.5,57.4,55.8,55.6,57.2,58.6,58.7,60.2,60.6,,58.3,58.9,,,,,,,,52.7,52.9,,,60.9,63.7,,54.9,59.1,75.8,75.5,77.3,76.1,79.5,,77.2,78.1,77.3,71.7,67.7,68.6,,
"Congo, Dem. Rep.",,61.7,64.1,,,,73.2,75.4,79,,76.7,77.7,80.9,82,82.9,,,,64.1,,,65.6,61.1,66.9,57.5,,,,,37.5,,,51.1,,,,,66,71.2,74.4,72.5,76.1,81.1,76.8,73.5,69.5,,,,,,
"Congo, Rep.",,,70.4,80.7,67.9,77.1,77.5,80,78.8,86,85.7,81.6,81.4,71.9,76.9,72.9,72.8,72.1,73.7,68.4,59.6,59.4,61.9,64.8,55.7,,49.5,,,30.9,,56.5,59.9,57.5,83.9,72.5,79.6,76.8,71.2,70.9,70.6,75.7,67.4,,,,,,,,,
Colombia,59.4,48.2,48.4,50.9,51,,,,,,,,69.2,71.7,72.5,66.4,74,69.1,68.4,68.1,64,71.4,77,80.6,81.6,85.5,87.2,,93.2,94.1,93.4,,90.5,,98,102,109,110,111,116,116,115,110,100,99.8,101,102,106,107,107,,
Comoros,,,,,,,,,,,,,,,,,80.7,61.3,,,,,49,,,,,,,51,,,61.6,60.6,63.3,,,66.5,82.1,,,,,72.8,75,,67.6,76.2,,,,
Cape Verde,,,,,7.79,11.3,,13.1,14.1,12.1,19.1,29.9,26.1,25,32.8,35.3,36.9,41.3,47,,61,,,,77.9,,,,99.3,,104,97.2,97.9,96.5,95.6,78.3,91.1,89.1,97.1,96.8,102,95.1,98.3,93.2,97.5,95.1,91.9,86.7,85.3,102,,
Costa Rica,73.4,72.7,82,86.8,86.1,82.4,79.3,86.7,83.9,82.8,83.7,87,87.3,,,77,78.2,75.2,75,74,,77.8,79.9,82.2,80.4,79.4,79.8,,,81.2,87.1,90.1,93.4,,93.7,93.3,89.3,91.8,92.8,97.6,98.8,103,101,98.3,98.7,99.3,96.5,96.1,98.1,103,104,
